"","cell_ID","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"100","X99",0,0.37030321692277,0.0931851267375124,0,0.536511656339718,0
"101","X100",0,0.0776844953165854,0,0.922315504683414,0,0
"102","X101",0.113934792012492,0,0.696146904730331,0.189918303257177,0,0
"103","X102",0,0.530628934783907,0.117014452304564,0.35235661291153,0,0
"104","X103",0,0.266294361268198,0.0958553857840239,0.637850252947778,0,0
"105","X104",0.172263504027951,0,0.265043654315213,0.562692841656836,0,0
"106","X105",0,0.0774388598863556,0.193313281732625,0.729247858381019,0,0
"107","X106",0,0.497932796761617,0.502067203238383,0,0,0
"108","X107",0,0.372600328882799,0,0.627399671117201,0,0
"109","X108",0.184133051161042,0.412459179341979,0.0995582083430154,0.303849561153964,0,0
"110","X109",0,0.910310591979259,0,0.0896894080207408,0,0
"111","X110",0,0.298012990150568,0.13727129182924,0.564715718020191,0,0
"112","X111",0.882174325907939,0,0,0.117825674092061,0,0
"113","X112",0,0.429638122421441,0.570361877578559,0,0,0
"114","X113",0.173021098915589,0.168345686566616,0,0.658633214517795,0,0
"115","X114",0.109342205208815,0.045019015176222,0.677364842654551,0.168273936960411,0,0
"116","X115",0,0.706834946442613,0.218977630641708,0.0741874229156789,0,0
"117","X116",0,0.194968176604534,0.0864805549197027,0.718551268475763,0,0
"118","X117",0,0.765705448212698,0.164649791562284,0.0696447602250184,0,0
"119","X118",0,0.101898602983519,0.15313386181007,0.744967535206411,0,0
"120","X119",0,0.625486994127775,0.0592928750264671,0.315220130845757,0,0
"121","X120",0.356741511636828,0,0.453368445174414,0.189890043188758,0,0
"122","X121",0.09284573725703,0.807154259190291,0,0.100000003552679,0,0
"123","X122",0,0.850315937266873,0,0.149684062733127,0,0
"124","X123",0,0.383305070016679,0.213788603605522,0.402906326377799,0,0
"125","X124",0.29528088387688,0,0,0,0.70471911612312,0
"126","X125",0,0.0593854532223782,0.0766041574196891,0.864010389357933,0,0
"127","X126",0,0.0574016121761132,0.166309849595675,0.776288538228212,0,0
"128","X127",0,0,0.196634872635737,0.803365127364263,0,0
"129","X128",0.409447317728659,0,0,0.590552682271341,0,0
"130","X129",0.183843807875396,0,0,0.816156192124604,0,0
"131","X130",0.563047903684098,0.436952096315902,0,0,0,0
"132","X131",0,0,0.24593639834179,0.754063601658211,0,0
"133","X132",0.46198151914275,0,0,0.53801848085725,0,0
"134","X133",0,0.273078816695763,0,0.726921183304237,0,0
"135","X134",0.176255382900371,0.101560076338404,0,0.722184540761225,0,0
"136","X135",0,0.657343810436316,0,0.342656189563684,0,0
"137","X136",0,1,0,0,0,0
"138","X137",0,0,0.305697903102235,0.694302096897765,0,0
"139","X138",0.669945028658952,0,0.227341833426577,0.102713137914471,0,0
"140","X139",0,0.0687489056118094,0.236522386966,0.694728707422191,0,0
"141","X140",0.106514517023448,0.165071229510691,0,0.728414253465861,0,0
"142","X141",0.153579598365626,0,0,0.846420401634374,0,0
"143","X142",0,0.108159898996903,0.0675311903315233,0.824308910671574,0,0
"144","X143",0,0.340432512305938,0.0994860018975314,0.56008148579653,0,0
"145","X144",0,0,0.194432842549702,0.805567157450298,0,0
"146","X145",0,0.0533813521041007,0.185664328005546,0.760954319890354,0,0
"147","X146",0,0,0.605799407579948,0.394200592420052,0,0
"148","X147",0,0.898702858898955,0.101297141101045,0,0,0
"149","X148",0.222436651324101,0,0.175904774164884,0.601658574511015,0,0
"150","X149",0.164709450366043,0.666416375348036,0,0.168874174285921,0,0
"151","X150",0.398104051184365,0,0,0.601895948815635,0,0
"152","X151",0.151396889132916,0,0.153005187933889,0.695597922933195,0,0
"153","X152",0.50461825212839,0.0422968332866137,0.193324273099333,0.259760641485663,0,0
"154","X153",0.476778304041574,0.170700710598559,0.352520985359868,0,0,0
"155","X154",0.115441866508461,0,0.0929568649122515,0.791601268579287,0,0
"156","X155",0,0.797150116767122,0.141385277167703,0.0614646060651754,0,0
"157","X156",0,0.232728054458373,0.091768000518595,0.675503945023032,0,0
"158","X157",0,0.0614298711783174,0.191463967204682,0.747106161617001,0,0
"159","X158",0.0989463130920111,0,0,0.901053686907989,0,0
"160","X159",0.141326877621954,0,0.39147468456796,0.467198437810086,0,0
"161","X160",0,0,0.29748824298249,0.70251175701751,0,0
"162","X161",0.344524988922541,0.415026126725352,0.0853620418483387,0.155086842503769,0,0
"163","X162",0.293771405598284,0,0.167523455090558,0.538705139311158,0,0
"164","X163",0,0.137988519383369,0.0806495318745676,0.781361948742063,0,0
"165","X164",0,0,1,0,0,0
"166","X165",0.645495494290395,0.243662223015088,0.110842282694517,0,0,0
"167","X166",0,0.552738324934706,0,0.447261675065294,0,0
"168","X167",0,0.195514337137004,0,0.804485662862996,0,0
"169","X168",0.40126722145411,0.108747679226813,0.413759695080548,0.0762254042385288,0,0
"170","X169",0.438713357558205,0,0.0978920995087047,0,0.46339454293309,0
"171","X170",0.775540351379588,0,0.224459648620412,0,0,0
"172","X171",0.224429096632405,0.117220452226237,0.113284226976581,0.545066224164776,0,0
"173","X172",0.463624250378552,0.243383383238729,0,0.29299236638272,0,0
"174","X173",0,0.246437086915711,0,0.753562913084289,0,0
"175","X174",0,0,0,1,0,0
"176","X175",0,0.062635183876153,0.131442303767378,0.805922512356469,0,0
"177","X176",0.0839366008589957,0.803815859261417,0,0.112247539879587,0,0
"178","X177",0,0.712158521617874,0.287841478382126,0,0,0
"179","X178",0.589685066339672,0,0,0.410314933660328,0,0
"180","X179",0,0.36324418448366,0.247520283013314,0.389235532503026,0,0
"181","X180",0.124996571923412,0.0589824904001018,0.128487797640052,0.687533140036434,0,0
"182","X181",0,0.0940828624403695,0.320729507352726,0.585187630206905,0,0
"183","X182",0,0.512193077584216,0.232493719968495,0.255313202447289,0,0
"184","X183",0.230068991469299,0,0,0.769931008530701,0,0
"185","X184",0,0.360344770168763,0.117525774983179,0,0.522129454848057,0
"186","X185",0,0,0.954091567434116,0,0.0459084325658835,0
"187","X186",0.741912632844924,0,0.258087367155076,0,0,0
"188","X187",0,0,0.838738070024761,0.161261929975239,0,0
"189","X188",0,0,0,1,0,0
"190","X189",0,0,0.0791296349761207,0.920870365023879,0,0
"191","X190",0.369720924811856,0,0,0.630279075188144,0,0
"192","X191",0,0,0.114552123748714,0.885447876251286,0,0
"193","X192",0,0,0.429615709896346,0.570384290103654,0,0
"194","X193",0,0,1,0,0,0
"195","X194",0,0,0.163806178949717,0.836193821050284,0,0
"196","X195",0.0732827191009999,0,0.510664829376174,0.416052451522826,0,0
"197","X196",0,0,0.127253525351424,0.872746474648576,0,0
"198","X197",0,0.195764813005978,0.530666280624176,0.273568906369846,0,0
"199","X198",0.0689248669932314,0,0.351005172344624,0.580069960662144,0,0
"200","X199",0.331678932324295,0,0.668321067675704,0,0,0
"201","X200",0,0.0598272173153376,0.0818001300878579,0.858372652596805,0,0
"202","X201",0.325371237668628,0.0361389331412881,0.335792779986326,0.254601493210902,0.0480955559928554,0
"203","X202",0.0966849370010292,0,0.217483819242501,0.68583124375647,0,0
