"","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"X161",0.31035103854645,0.347878815543614,0.167615984905263,0.109383022443907,0.0186329902407984,0.046138148319968
"X162",0.3141958961421,0.0465032117237607,0.238063815187698,0.352062037134778,0.0228967048559614,0.0262783349557015
"X163",0.0318323893125485,0.147820852997234,0.206354510912443,0.596598735100239,0.00892978971737711,0.00846372196015797
"X164",0.0370682996543896,0.0134931540220382,0.934225394914367,1.98607202372244e-10,0.0086857895492506,0.00652736166134769
"X165",0.447458082949911,0.198640669598143,0.227570147262458,0.0147876778953765,0.0335844962650811,0.0779589260290314
"X166",0.0904693363473772,0.458454574065539,0.0645033462366011,0.353049368133263,0.0101660173232599,0.0233573578939591
"X167",0.0204792083992745,0.188272201593028,0.0128168223637681,0.766233826193771,0.00327810021276402,0.00891984123739474
"X168",0.389372513591928,0.0241934072542177,0.460984199572953,0.062446670332113,0.0416151905475553,0.0213880187012328
"X169",0.467705281243476,0.0013100977609578,0.187439265684125,1.15805201127646e-05,0.312994468414034,0.0305393063772942
"X170",0.550159535413763,0.00171583792917948,0.310347616390592,1.42160338956127e-06,0.0612232376316366,0.0765523510314394
"X171",0.271091421174763,0.1009000523554,0.215015733220359,0.361253764960171,0.0141733865885021,0.037565641700804
"X172",0.496434405580458,0.124176045000217,0.126514872331602,0.218706722252551,0.0111017169931956,0.023066237841976
"X173",0.0145187818159829,0.272303619022788,0.115426873121511,0.582753253432065,0.00116521617073543,0.0138322564369182
"X174",0.0285427249158949,0.0224013753269727,0.047747782948836,0.893275238339297,0.00419638501687831,0.00383649345212139
"X175",0.0135100062279275,0.0635587012315038,0.249147220634401,0.663965100785346,0.00199827871313815,0.00782069240768348
"X176",0.112525267552075,0.651457613500944,0.00886657221760913,0.134726020216142,0.0217190633215867,0.0707054631916432
"X177",0.015618352807663,0.544270688727827,0.371304321294917,0.00940615758255036,0.0210162745507016,0.0383842050363411
"X178",0.546932440869526,0.0441341472385465,0.0227505893960481,0.316770262698619,0.0244141393623183,0.0449984204349424
"X179",0.0431002160838713,0.297106702991978,0.302633323295693,0.330671209127443,0.00481669262137544,0.021671855879639
"X180",0.149016290321851,0.0542177115474116,0.211425318810806,0.544479600923301,0.00616142055095743,0.0346996578456721
"X181",0.0136060731837699,0.100285616848613,0.495587156608421,0.377325678483893,0.00458021901491988,0.00861525586038317
"X182",0.0315547839115775,0.403657081123534,0.347770942445519,0.173423331287663,0.00554524486516575,0.0380486163665411
"X183",0.225912461710714,0.0438345632218953,0.0442827999968073,0.668144165042353,0.00268207708782102,0.0151439329404101
"X184",0.0892468479014683,0.278942671475651,0.264405471248071,0.00233277315602868,0.343652081121055,0.0214201550977263
"X185",0.041637527558655,0.000716890123079553,0.914901143957243,3.61918312276951e-09,0.0401334077590743,0.0026110269827646
"X186",0.495346193157172,0.000165879858261596,0.411069957181865,1.61231088570733e-07,0.0027433425250128,0.0906744660465998
"X187",0.0497165786259555,0.00927478971061924,0.839072544594546,0.0704866802525449,0.0133825866543887,0.0180668201619453
"X188",0.0124124623020113,0.12367754720089,0.00843221570969419,0.846661213885207,0.00427487249023047,0.00454168841196787
"X189",0.00333926198404994,0.0537671903954567,0.154689445591442,0.776683373250074,0.00199110611285538,0.00952962266612247
"X190",0.40439871160083,0.0261458370859306,0.0307476892097452,0.493560121711762,0.0104940277996729,0.0346536125920598
"X191",0.0319931189786699,0.0510475111726738,0.19872415823817,0.703884315879262,0.00355975284915755,0.0107911428820663
"X192",0.0384731083161674,0.0795984687957086,0.524202656783888,0.349057792786655,0.00234302365327029,0.00632494966431096
