"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X92",0.15804441486118,0.0723903742174842,0.244127857132459,0.142640134992774,0.325946423403168,0.0568507953929343
"X93",0.210777415023233,0.120158289310674,0.265312957384173,0.122627513769641,0.192778980731775,0.0883448437805046
"X94",0.145166697954608,0.224236785377313,0.303142802841194,0.0971158241757422,0.153407372176374,0.0769305174747676
"X95",0.237665474145833,0.3158851422982,0.220074193156387,0.101785473896282,0.0507208800702166,0.073868836433081
"X96",0.246684433406965,0.128068219016939,0.283183186827095,0.0488754839226726,0.246351885517639,0.0468367913086898
"X97",0.120965496070317,0.211307438581205,0.371715508964714,0.0394457480436795,0.206813043557291,0.0497527647827932
"X98",0.234473621565004,0.341400401545113,0.0816288923020658,0.0674734118332157,0.183189512864205,0.0918341598903958
"X99",0.481336531672758,0.295925480777565,0.0278303981154071,0.0342373701134956,0.109488977118452,0.0511812422023223
"X100",0.116758801393301,0.193827520755182,0.533536226757809,0.0303562695090506,0.0766783608081608,0.0488428207764964
"X101",0.20068345448268,0.127506882303772,0.184765022737801,0.108671301948054,0.2965627880044,0.0818105505232923
"X102",0.288377614746239,0.274395074221762,0.222858021073996,0.0360533473916988,0.115710766608567,0.0626051759577366
"X103",0.150712371269397,0.241329226879132,0.328241881977293,0.0789261700954992,0.102582494161202,0.0982078556174767
"X104",0.149535564213583,0.0729038386347707,0.299455162921673,0.176137674242373,0.245153355070724,0.0568144049168769
"X105",0.0561890930894267,0.111909844024592,0.542434677957782,0.0193240626686417,0.192580477586387,0.0775618446731706
"X106",0.271040649073318,0.234895776767657,0.139082151335278,0.0447584561573793,0.248282405391626,0.0619405612747412
"X107",0.141899803987081,0.364374262505208,0.378494696277924,0.0372228185879725,0.0250503896577928,0.0529580289840218
"X108",0.214073432000699,0.227393851951054,0.216488950295825,0.159075713230373,0.100805583581231,0.0821624689408195
"X109",0.164217613914014,0.464431293882882,0.212484323202003,0.0443510940201911,0.0478049195701074,0.0667107554108022
"X110",0.198751691028827,0.269596647396536,0.300525354620052,0.0288009875473842,0.126681231884651,0.0756440875225502
"X111",0.213872924221163,0.124410769572338,0.107317642796884,0.386307904142056,0.0583919429589438,0.109698816308616
"X112",0.275738057127416,0.234509142760901,0.10587770474117,0.0587116354900074,0.282567531726206,0.0425959281542999
"X113",0.114596015567275,0.243224503295174,0.364329307173777,0.164961536754105,0.0378743589975967,0.0750142782120722
"X114",0.19205747793166,0.08414139865506,0.185536706508382,0.12040105501637,0.365681050648065,0.0521823112404632
"X115",0.215413797893508,0.365951388706139,0.185396922214674,0.03626169778811,0.14929356598191,0.0476826274156594
"X116",0.117759874822612,0.24613413191359,0.4024396429425,0.0470606744487324,0.12987413706923,0.0567315388033352
"X117",0.188956960678585,0.369922154283463,0.161027457871055,0.0398930541427758,0.152229368964939,0.0879710040591823
"X118",0.197496294341795,0.134173267224347,0.402100701910844,0.0366244415311378,0.179261913029548,0.0503433819623277
"X119",0.192176524106222,0.352567291625376,0.204260636520882,0.0598396389488167,0.0896147074353624,0.101541201363341
"X120",0.246285701099736,0.0960488318204849,0.138116340186565,0.214383337228547,0.240443501381355,0.0647222882833105
"X121",0.203191594953086,0.351079914021083,0.20696928177154,0.1270568403512,0.0184810827913907,0.0932212861116998
