"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X103",0.000201187467941759,0.312409445073944,0.494035726131837,0.0766454552448382,0.115260925424025,0.00144726065741392
"X104",0.000198551411709707,0.025812446101805,0.445366600349455,0.210393522733063,0.318030327992065,0.000198551411902839
"X105",9.09302483348307e-05,0.0336577954471223,0.733004014998957,9.09302475238029e-05,0.233065398810538,9.09302475238033e-05
"X106",0.00019724701444856,0.401963850524275,0.0964914596948246,0.0181997642852911,0.480526655505292,0.00262102297586875
"X107",0.000135062548830041,0.436034595660151,0.563425154096908,0.000135062564703669,0.00013506256470367,0.000135062564703676
"X108",0.000286690139868946,0.307573420549231,0.27358902174386,0.271668200862517,0.14659597657554,0.000286690128984666
"X109",0.00275299287123696,0.816063086796417,0.152489177533223,0.0153249518527881,0.0131472943365415,0.000222496609794257
"X110",0.000141992599063673,0.352276214832361,0.484015447097657,0.000141992603743576,0.163112271984147,0.000312080883027621
"X111",0.00015381162592646,0.000153811628711698,0.106643266437904,0.892622685527696,0.000153811628922692,0.000272613150839575
"X112",0.00021644344307605,0.34789183842871,0.0527104520365246,0.000216443476934856,0.589632268050617,0.00933255456413728
"X113",0.000202639811555241,0.209289141642718,0.5720450209993,0.215761996115908,0.00249856162031613,0.000202639810201767
"X114",0.000191861002725929,0.0235491752546824,0.209105159870077,0.147812527108037,0.608371296774573,0.0109699799899051
"X115",0.000161431348281763,0.620052856811786,0.115064622861657,0.000161431348465862,0.264398226281343,0.000161431348465862
"X116",9.47256768280058e-05,0.217719829875938,0.659661082007032,0.00369708424352787,0.116348166817874,0.00247911137879898
"X117",0.000157466073154454,0.654439814726215,0.106797904647824,0.000157466073373711,0.233690213386835,0.00475713509259768
"X118",8.96335590597836e-05,0.0919831500381359,0.67194320375852,0.00767777603046144,0.228216603054056,8.96335597670239e-05
"X119",0.00113783311189605,0.499696997840522,0.268154940373735,0.0324585065280643,0.189043582318652,0.00950813982713056
"X120",0.000219250736063071,0.000219250737863624,0.161322720218128,0.406074716280609,0.431944811289472,0.000219250737863623
"X121",0.000145010045506427,0.657951564795287,0.150414857564954,0.155363810636816,0.000145010045267826,0.0359797469121687
"X122",0.000284412302393651,0.780784142867425,0.182290094225742,0.000139982725607496,0.0246962758915097,0.0118050919873218
"X123",0.000318451890352063,0.314988179922167,0.363861393990723,0.0256572801795789,0.287105723358159,0.0080689706590197
"X124",0.357462477727906,0.00521137892168069,0.00099168501726581,0.342625039517086,0.29271773379835,0.000991685017711651
"X125",8.68908272858126e-05,0.0179842556493022,0.821095769268641,0.0224928594628163,0.138253333977255,8.68908146999533e-05
"X126",0.000136003631400222,0.0195664453179043,0.711162703543641,0.00469730490097437,0.26052680305062,0.00391073955546112
"X127",0.00207164458218339,0.0547098760211929,0.687112255848123,0.000135724142516437,0.252847974214898,0.00312252519108667
"X128",0.000129205700524492,0.0270649658450739,0.554388742292511,0.418158674730465,0.000129205715712758,0.000129205715712759
